2020/10/08 23:42:34
7 7 1
6 7 -1
6 8 1
7 8 -1
8 6 1
5 9 -1
9 5 1
10 4 -1
8 5 1
8 9 -1
5 6 1
9 6 -1
6 5 1
7 5 -1
7 6 1
4 6 -1
8 4 1
8 3 -1
8 7 1
8 8 -1
9 8 1
5 4 -1
10 9 1

2020/10/08 23:51:03
8 8 1
7 8 -1
7 9 1
8 9 -1
8 10 1
9 10 -1
9 11 1
6 7 -1
6 8 1
5 6 -1

2020/10/08 23:53:46
8 8 1
8 7 -1
9 7 1
9 8 -1
7 9 1
10 6 -1
6 10 1
5 11 -1
6 9 1
10 9 -1
7 6 1
7 10 -1
6 7 1
6 8 -1
7 8 1
7 5 -1
5 9 1
4 9 -1
8 9 1
9 9 -1
9 10 1
5 6 -1
10 11 1

2020/10/09 01:19:25
8 8 1
7 8 -1
6 8 1
7 7 -1
6 7 1
7 9 -1
6 9 1
7 6 -1
6 6 1
7 5 -1

2020/10/09 01:29:40
8 7 1
8 8 -1
7 8 1
7 7 -1
8 9 1
9 9 -1
9 10 1
6 6 -1
6 7 1
5 5 -1

2020/10/09 03:57:03 # AI 닫힌 3일 때 무조건 떨어진 4를 만듬
8 8 1
7 8 -1
7 9 1
8 9 -1
9 7 1
10 6 -1
6 9 1
5 11 -1
6 8 1
6 7 -1
5 6 1
10 11 -1
8 11 1
9 10 -1

2020/10/09 04:02:10 # 중앙에 더 가깝게 두면 왜 좋은가? # (1, 1) 보단 (1, 8)이 더 낫다
8 8 1
7 8 -1
7 9 1
8 9 -1
6 10 1
9 7 -1
5 11 1
4 12 -1
3 11 1
6 7 -1
5 7 1
9 10 -1
8 10 1
5 6 -1

2020/10/09 22:04:40 # 와 인공지능 개잘함 ㅋㅋ
8 8 1
8 7 -1
7 7 1
7 8 -1
6 6 1
9 9 -1
8 6 1
9 6 -1
6 9 1
9 5 -1
9 7 1
7 9 -1
8 9 1
8 5 -1
10 7 1
7 5 -1
10 5 1
7 6 -1
9 8 1
7 10 -1
11 6 1
12 5 -1
10 6 1
10 8 -1
10 4 1
10 3 -1
11 5 1
12 4 -1
12 7 1
9 4 -1
13 7 1
6 7 -1

2020/10/10 00:34:55
8 8 1
8 9 -1
7 9 1
7 8 -1
6 10 1
9 7 -1
9 7 1
6 10 -1
6 9 1
7 10 -1
9 8 1
8 10 -1
9 10 1
9 9 -1
10 8 1
10 9 -1
11 8 1
12 8 -1
10 6 1
11 5 -1
8 6 1
11 9 -1
7 5 1
12 9 -1

2020/10/10 00:37:30
9 8 1
8 8 -1
8 8 1

2020/10/10 00:44:54
9 8 1
8 8 -1
8 8 1

2020/10/10 00:45:21
8 8 1
7 7 -1
8 7 1
8 8 -1
8 8 1

2020/10/10 00:45:28
8 7 1
7 7 -1
6 7 1
7 8 -1
8 8 1
7 6 -1
8 6 1
7 5 -1
8 5 1
7 4 -1

2020/10/10 00:45:39
8 8 1

2020/10/10 00:49:46
15 12 1
15 12 -1
15 13 1
15 13 -1
15 14 1
15 14 -1
14 14 1
15 11 -1
14 11 1
15 10 -1

